iter	RMSE
0	9.644940146
1	9.387928242
2	9.146384904
3	8.907296947
4	8.680500215
5	8.454007303
6	8.233064852
7	8.021964362
8	7.810509169
9	7.607006435
10	7.413503898
11	7.220973467
12	7.028804881
13	6.849711955
14	6.670832724
15	6.493389451
16	6.321313223
17	6.155849731
18	5.99829819
19	5.846332915
20	5.699478896
21	5.554903006
22	5.411103281
23	5.276899245
24	5.141022477
25	5.01326765
26	4.885615331
27	4.763518041
28	4.649573488
29	4.528590232
30	4.416114275
31	4.303607662
32	4.199553202
33	4.09691122
34	3.99375759
35	3.899531999
36	3.809169853
37	3.717536109
38	3.629130672
39	3.545652536
40	3.459328033
41	3.374992401
42	3.294560975
43	3.214446886
44	3.142470938
45	3.068825397
46	2.996838267
47	2.928706264
48	2.863362009
49	2.801541133
50	2.738682771
51	2.679742671
52	2.621711566
53	2.566164982
54	2.51076534
55	2.45520355
56	2.404296367
57	2.353962117
58	2.306494968
59	2.257415856
60	2.210212601
61	2.164387561
62	2.120675419
63	2.076350529
64	2.036581102
65	1.99742853
66	1.958894413
67	1.922190216
68	1.886309088
69	1.850675641
70	1.817034588
71	1.784862395
72	1.752067487
73	1.72162909
74	1.692397481
75	1.665336023
76	1.637361057
77	1.609928848
78	1.585625443
79	1.561583881
80	1.536431322
81	1.511807545
82	1.487597898
83	1.466925853
84	1.446314312
85	1.42625854
86	1.405330111
87	1.385915799
88	1.369280343
89	1.350551737
90	1.333067349
91	1.316951569
92	1.300176884
93	1.284324933
94	1.270064296
95	1.255069304
96	1.240411329
97	1.227286511
98	1.213070463
99	1.201063649
100	1.188741317
101	1.17679442
102	1.165825614
103	1.154279881
104	1.144425749
105	1.133924341
106	1.123620692
107	1.114180822
108	1.104597364
109	1.09536748
110	1.08608487
111	1.077631157
112	1.069301545
113	1.061850537
114	1.053789354
115	1.046429486
116	1.038725185
117	1.031669717
118	1.02571945
119	1.018927402
120	1.012492129
121	1.00635966
122	1.000662687
123	0.995100456
124	0.9896069177
125	0.9850230586
126	0.9795471832
127	0.9746980917
128	0.9698040246
129	0.9648761773
130	0.9605015067
131	0.9560151507
132	0.9516418122
133	0.9470857391
134	0.9430897503
135	0.9392794092
136	0.9352381486
137	0.931035914
138	0.927676366
139	0.9240578797
140	0.9202161764
141	0.9171982026
142	0.9139606472
143	0.9106506185
144	0.9076415236
145	0.9049471751
146	0.90144413
147	0.8986959087
148	0.895919946
149	0.8934058565
150	0.8905561117
151	0.887832402
152	0.8854363038
153	0.8826490469
154	0.8803877773
155	0.8779034369
156	0.8758425081
157	0.8732975713
158	0.870526176
159	0.8683574499
160	0.8659322172
161	0.8639354735
162	0.8615779095
163	0.8593599924
164	0.8570853712
165	0.8547260133
166	0.8525104081
167	0.8508683636
168	0.8490588287
169	0.8473976982
170	0.8453859333
171	0.8436044346
172	0.8418798257
173	0.8399660739
174	0.8381751258
175	0.8366180221
176	0.8344632091
177	0.8331550088
178	0.8313013043
179	0.8295576208
180	0.8276887637
181	0.8264673608
182	0.8249942765
183	0.8232904489
184	0.8224455563
185	0.8208171583
186	0.8191747097
187	0.8178540663
188	0.8164638847
189	0.8153760837
190	0.8141734031
191	0.812972233
192	0.8115671733
193	0.8100975899
194	0.8085343335
195	0.8070676433
196	0.8055966766
197	0.8038588649
198	0.8022269987
199	0.8009274237
200	0.7995006285
201	0.7981713015
202	0.7966175028
203	0.79499775
204	0.7934091279
205	0.7922549159
206	0.7907755767
207	0.7891311747
208	0.7880185771
209	0.786805764
210	0.7853916696
211	0.784213023
212	0.7828527514
213	0.7818008761
214	0.7802032499
215	0.7793678443
216	0.7781225389
217	0.7765590533
218	0.7752052469
219	0.773970381
220	0.772370971
221	0.7715267105
222	0.7701136185
223	0.7687321645
224	0.7672973047
225	0.7657974787
226	0.7645781278
227	0.7636117118
228	0.7624750232
229	0.7611085036
230	0.7602015633
231	0.7590349229
232	0.7573668248
233	0.7562122211
234	0.7551669457
235	0.7538305789
236	0.7529724082
237	0.7515329181
238	0.7509626867
239	0.749223256
240	0.7480084061
241	0.7471991514
242	0.7461227151
243	0.7446669713
244	0.7432474134
245	0.7421119448
246	0.7409974915
247	0.7401055362
248	0.7391068604
249	0.7377034981
250	0.7368697904
251	0.7358185061
252	0.7347180739
253	0.7338940248
254	0.7330951235
255	0.7317241786
256	0.730557161
257	0.7294392452
258	0.7282758159
259	0.7274750857
260	0.7260643929
261	0.7251034732
262	0.7239632659
263	0.7231520649
264	0.7222532323
265	0.7213664821
266	0.7204769926
267	0.719246667
268	0.7180093883
269	0.7170284354
270	0.7162073808
271	0.7147815108
272	0.7132993092
273	0.7117246594
274	0.7105683666
275	0.7097462435
276	0.708524468
277	0.7075544053
278	0.7066661971
279	0.7054398582
280	0.7042008192
281	0.7028804153
282	0.7023713317
283	0.7012187603
284	0.7003947137
285	0.6989355104
286	0.6981518689
287	0.6968260597
288	0.6956976184
289	0.6952651646
290	0.6942451943
291	0.6929755458
292	0.6916893098
293	0.6900839262
294	0.6885924445
295	0.6869864539
296	0.6860409709
297	0.684948276
298	0.6832560162
299	0.6819709967
300	0.681282264
301	0.6801020738
302	0.6787885198
303	0.6774412233
304	0.676178557
305	0.6755045821
306	0.6745333818
307	0.6728383624
308	0.6713853263
309	0.6705604026
310	0.6691462569
311	0.6676782328
312	0.6664708799
313	0.6651762038
314	0.6642867797
315	0.6630178396
316	0.6616654979
317	0.6605177327
318	0.6591486733
319	0.657841528
320	0.6564455879
321	0.6558698601
322	0.6549850737
323	0.6536004417
324	0.6519669654
325	0.650367083
326	0.6488558878
327	0.6475355975
328	0.6465511164
329	0.6456082913
330	0.6445286131
331	0.6436338588
332	0.6423333751
333	0.6411767522
334	0.6396099909
335	0.6390296998
336	0.6384867623
337	0.6373548454
338	0.6358891167
339	0.635000347
340	0.6335371633
341	0.6322954674
342	0.6317622941
343	0.6313753029
344	0.6305491516
345	0.6290811725
346	0.6283884438
347	0.6273978344
348	0.6267239922
349	0.6253432732
350	0.6242028722
351	0.62294167
352	0.6214389934
353	0.6205777532
354	0.6200789616
355	0.6188359934
356	0.6180267968
357	0.617044738
358	0.6157115707
359	0.6144853528
360	0.6129716532
361	0.61183762
362	0.611012277
363	0.6101261129
364	0.6097205943
365	0.6085899774
366	0.6076381846
367	0.6065141465
368	0.6059933366
369	0.6050230512
370	0.6036905362
371	0.6024057788
372	0.6010750676
373	0.599475882
374	0.5979520116
375	0.5964122622
376	0.5953003661
377	0.593983448
378	0.59345139
379	0.5929680682
380	0.5925499072
381	0.5917553484
382	0.5913214575
383	0.5903326846
384	0.5898104448
385	0.5888892098
386	0.5878884295
387	0.5867106188
388	0.5862388811
389	0.5851839528
390	0.5843701806
391	0.5839837762
392	0.5825912255
393	0.581796774
394	0.5811476717
395	0.5804145451
396	0.57958215
397	0.5787595206
398	0.577763847
399	0.5768131384
400	0.5760120323
401	0.5750932893
402	0.5738646642
403	0.5724021981
404	0.5712929538
405	0.5704380231
406	0.5700274022
407	0.5686512067
408	0.567968343
409	0.5671540339
410	0.5665237439
411	0.5655645807
412	0.5645954238
413	0.5635849942
414	0.5623574998
415	0.5613301227
416	0.5599321157
417	0.5587104322
418	0.5579494212
419	0.5572477808
420	0.5558837024
421	0.5552388603
422	0.5542905615
423	0.553403122
424	0.5523789252
425	0.5517421326
426	0.5506907308
427	0.5497530952
428	0.548432391
429	0.5476432493
430	0.5467763895
431	0.5463478504
432	0.5450605659
433	0.544168655
434	0.5428243694
435	0.5416609603
436	0.5413301203
437	0.5407502012
438	0.5397443611
439	0.5386792156
440	0.5379605557
441	0.5372376535
442	0.5362611843
443	0.5358868761
444	0.5349235588
445	0.5339332631
446	0.5331000505
447	0.5322942282
448	0.5312633043
449	0.5306083161
450	0.5296130562
451	0.5285300608
452	0.5275606898
453	0.5269224723
454	0.5258131052
455	0.524997447
456	0.5244941688
457	0.5240697689
458	0.5237258647
459	0.522421446
460	0.5221227111
461	0.5213617452
462	0.5207299147
463	0.5197174241
464	0.5188507502
465	0.5179981877
466	0.5177231371
467	0.5162584875
468	0.5149598916
469	0.5138035936
470	0.5128766174
471	0.5126059827
472	0.5114893679
473	0.5106613331
474	0.509745514
475	0.5089435311
476	0.5077641626
477	0.507362324
478	0.5064707157
479	0.5060142006
480	0.5049201595
481	0.5045676645
482	0.5034671758
