iter	Passed	Remaining
0	23	35462
1	42	32046
2	66	33386
3	89	33381
4	109	32774
5	129	32298
6	153	32682
7	174	32542
8	196	32530
9	217	32414
10	239	32397
11	262	32539
12	284	32509
13	307	32615
14	327	32427
15	353	32803
16	373	32596
17	394	32474
18	412	32152
19	436	32297
20	457	32223
21	480	32300
22	503	32322
23	523	32213
24	543	32052
25	565	32048
26	586	32012
27	607	31929
28	626	31799
29	648	31792
30	670	31788
31	693	31824
32	717	31893
33	740	31925
34	760	31836
35	783	31844
36	802	31725
37	823	31700
38	847	31748
39	872	31835
40	890	31692
41	911	31653
42	935	31708
43	955	31634
44	976	31558
45	999	31588
46	1022	31612
47	1041	31515
48	1067	31620
49	1091	31643
50	1111	31583
51	1130	31487
52	1153	31482
53	1173	31424
54	1193	31368
55	1212	31275
56	1235	31265
57	1257	31259
58	1277	31203
59	1297	31150
60	1320	31154
61	1343	31151
62	1363	31096
63	1385	31085
64	1406	31040
65	1429	31049
66	1449	31012
67	1473	31036
68	1493	30978
69	1516	30987
70	1539	30978
71	1561	30977
72	1583	30953
73	1605	30935
74	1625	30877
75	1646	30844
76	1669	30847
77	1690	30815
78	1712	30796
79	1734	30784
80	1754	30730
81	1773	30662
82	1792	30596
83	1812	30550
84	1836	30568
85	1856	30522
86	1875	30467
87	1899	30482
88	1921	30468
89	1946	30491
90	1965	30433
91	1987	30418
92	2009	30396
93	2027	30320
94	2049	30308
95	2068	30255
96	2090	30235
97	2111	30203
98	2132	30178
99	2155	30173
100	2179	30188
101	2198	30132
102	2221	30125
103	2244	30129
104	2264	30080
105	2282	30021
106	2304	30000
107	2324	29962
108	2345	29935
109	2369	29941
110	2389	29903
111	2411	29880
112	2431	29847
113	2450	29795
114	2471	29768
115	2496	29784
116	2514	29718
117	2535	29690
118	2558	29687
119	2575	29623
120	2603	29669
121	2623	29629
122	2645	29613
123	2667	29605
124	2691	29603
125	2711	29569
126	2730	29519
127	2750	29480
128	2772	29462
129	2795	29458
130	2815	29421
131	2838	29419
132	2862	29417
133	2884	29405
134	2906	29388
135	2929	29377
136	2952	29377
137	2973	29346
138	2995	29331
139	3020	29342
140	3043	29334
141	3066	29322
142	3085	29275
143	3104	29237
144	3125	29206
145	3146	29178
146	3168	29160
147	3189	29137
148	3208	29092
149	3227	29051
150	3250	29042
151	3270	29002
152	3292	28989
153	3314	28965
154	3334	28935
155	3357	28922
156	3377	28892
157	3399	28870
158	3420	28849
159	3442	28827
160	3465	28820
161	3488	28810
162	3513	28822
163	3536	28813
164	3558	28790
165	3581	28784
166	3602	28755
167	3622	28724
168	3645	28708
169	3664	28668
170	3685	28644
171	3706	28615
172	3729	28606
173	3750	28578
174	3769	28541
175	3794	28542
176	3815	28518
177	3837	28501
178	3859	28481
179	3879	28447
180	3903	28446
181	3922	28407
182	3942	28371
183	3963	28351
184	3985	28326
185	4010	28330
186	4035	28332
187	4056	28311
188	4079	28295
189	4097	28252
190	4117	28220
191	4140	28203
192	4163	28192
193	4184	28170
194	4207	28161
195	4229	28141
196	4251	28120
197	4272	28094
198	4294	28076
199	4326	28124
200	4351	28124
201	4376	28123
202	4399	28107
203	4420	28082
204	4446	28091
205	4476	28116
206	4495	28082
207	4521	28086
208	4543	28067
209	4562	28029
210	4585	28013
211	4607	27991
212	4631	27982
213	4656	27983
214	4682	27987
215	4704	27967
216	4725	27941
217	4747	27919
218	4767	27886
219	4789	27864
220	4814	27864
221	4834	27832
222	4855	27805
223	4876	27781
224	4902	27779
225	4925	27765
226	4945	27732
227	4964	27696
228	4987	27684
229	5009	27661
230	5031	27640
231	5051	27608
232	5072	27583
233	5093	27556
234	5116	27544
235	5137	27517
236	5162	27509
237	5183	27483
238	5204	27458
239	5226	27439
240	5246	27408
241	5266	27378
242	5287	27349
243	5308	27327
244	5331	27308
245	5354	27296
246	5377	27279
247	5400	27262
248	5421	27239
249	5444	27221
250	5466	27199
251	5491	27195
252	5514	27181
253	5537	27165
254	5562	27156
255	5584	27138
256	5606	27115
257	5631	27108
258	5653	27088
259	5677	27076
260	5698	27051
261	5720	27030
262	5743	27014
263	5766	26997
264	5787	26972
265	5811	26960
266	5836	26953
267	5858	26931
268	5879	26907
269	5903	26894
270	5926	26876
271	5949	26862
272	5969	26831
273	5989	26800
274	6011	26778
275	6030	26744
276	6053	26726
277	6077	26715
278	6098	26687
279	6119	26664
280	6144	26654
281	6164	26626
282	6185	26599
283	6207	26579
284	6228	26552
285	6250	26531
286	6272	26512
287	6295	26491
288	6318	26477
289	6340	26454
290	6364	26442
291	6388	26430
292	6409	26404
293	6434	26392
294	6458	26379
295	6480	26360
296	6502	26340
297	6524	26315
298	6547	26297
299	6566	26264
300	6588	26245
301	6611	26227
302	6633	26203
303	6657	26192
304	6681	26176
305	6708	26176
306	6732	26162
307	6755	26144
308	6779	26130
309	6799	26102
310	6822	26082
311	6842	26053
312	6868	26046
313	6889	26022
314	6911	26001
315	6937	25992
316	6959	25972
317	6981	25951
318	7003	25929
319	7022	25897
320	7045	25878
321	7067	25856
322	7090	25839
323	7112	25816
324	7137	25805
325	7162	25791
326	7184	25771
327	7207	25753
328	7232	25741
329	7252	25713
330	7273	25686
331	7293	25659
332	7316	25641
333	7341	25630
334	7365	25612
335	7392	25608
336	7412	25579
337	7433	25556
338	7454	25530
339	7475	25503
340	7500	25491
341	7524	25478
342	7548	25461
343	7572	25448
344	7595	25429
345	7618	25408
346	7640	25387
347	7662	25367
348	7689	25359
349	7711	25339
350	7736	25324
351	7758	25302
352	7780	25280
353	7802	25257
354	7824	25236
355	7846	25213
356	7867	25189
357	7891	25172
358	7914	25153
359	7936	25133
360	7957	25107
361	7982	25093
362	8004	25071
363	8028	25056
364	8051	25036
365	8074	25016
366	8094	24989
367	8116	24966
368	8139	24947
369	8161	24924
370	8186	24912
371	8207	24886
372	8228	24861
373	8253	24848
374	8276	24828
375	8296	24802
376	8318	24778
377	8339	24754
378	8363	24738
379	8386	24716
380	8411	24706
381	8436	24690
382	8460	24674
383	8480	24646
384	8503	24627
385	8525	24605
386	8546	24579
387	8567	24553
388	8589	24531
389	8611	24510
390	8636	24495
391	8658	24474
392	8679	24448
393	8705	24436
394	8728	24416
395	8753	24404
396	8775	24380
397	8797	24358
398	8818	24334
399	8841	24312
400	8860	24284
401	8884	24266
402	8905	24242
403	8928	24222
404	8949	24197
405	8971	24174
406	8994	24155
407	9019	24139
408	9038	24109
409	9061	24091
410	9087	24077
411	9110	24059
412	9134	24042
413	9155	24016
414	9178	23997
415	9202	23979
416	9227	23965
417	9249	23943
418	9273	23925
419	9295	23901
420	9318	23884
421	9343	23866
422	9365	23845
423	9386	23821
424	9411	23805
425	9435	23787
426	9459	23770
427	9485	23757
428	9509	23739
429	9529	23713
430	9547	23681
431	9572	23664
432	9594	23643
433	9618	23626
434	9643	23610
435	9665	23586
436	9690	23572
437	9716	23558
438	9742	23546
439	9767	23530
440	9796	23524
441	9818	23502
442	9841	23482
443	9865	23464
444	9884	23433
445	9903	23404
446	9926	23383
447	9947	23359
448	9971	23341
449	9997	23327
450	10019	23304
451	10042	23284
452	10064	23261
453	10088	23243
454	10111	23223
455	10134	23203
456	10157	23183
457	10181	23164
458	10208	23152
459	10231	23132
460	10257	23117
461	10279	23094
462	10300	23071
463	10323	23049
464	10345	23027
465	10364	22997
466	10387	22977
467	10410	22956
468	10432	22933
469	10459	22921
470	10480	22896
471	10506	22881
472	10529	22862
473	10556	22850
474	10580	22830
475	10600	22803
476	10623	22782
477	10646	22763
478	10670	22744
479	10693	22724
480	10716	22702
481	10737	22677
482	10758	22653
483	10783	22636
484	10808	22620
485	10832	22601
486	10854	22579
487	10876	22554
488	10897	22530
489	10917	22503
490	10940	22482
491	10963	22461
492	10985	22438
493	11007	22416
494	11027	22389
495	11046	22359
496	11068	22337
497	11091	22316
498	11113	22294
499	11136	22273
500	11158	22250
501	11182	22230
502	11204	22208
503	11225	22184
504	11247	22160
505	11268	22137
506	11290	22113
507	11313	22092
508	11332	22064
509	11356	22044
510	11379	22023
511	11401	22000
512	11422	21977
513	11446	21958
514	11468	21934
515	11491	21913
516	11514	21893
517	11534	21865
518	11557	21844
519	11576	21816
520	11603	21803
521	11625	21780
522	11647	21759
523	11667	21732
524	11686	21702
525	11710	21684
526	11732	21661
527	11755	21641
528	11776	21616
529	11799	21594
530	11822	21573
531	11845	21552
532	11867	21530
533	11890	21510
534	11916	21494
535	11941	21476
536	11965	21456
537	11985	21431
538	12007	21408
539	12032	21390
540	12055	21370
541	12079	21350
542	12107	21337
543	12131	21319
544	12153	21297
545	12178	21279
546	12202	21259
547	12225	21238
548	12248	21217
549	12268	21190
550	12292	21171
551	12313	21146
552	12337	21128
553	12361	21107
554	12384	21086
555	12405	21061
556	12427	21039
557	12449	21016
558	12473	20997
559	12493	20971
560	12515	20948
561	12538	20927
562	12560	20904
563	12582	20882
564	12603	20856
565	12627	20837
566	12651	20818
567	12676	20800
568	12694	20771
569	12716	20747
570	12739	20726
571	12761	20704
572	12783	20680
573	12805	20658
574	12829	20638
575	12851	20616
576	12875	20596
577	12902	20581
578	12924	20559
579	12946	20536
580	12969	20515
581	12990	20490
582	13014	20469
583	13038	20450
584	13060	20427
585	13084	20408
586	13109	20389
587	13132	20368
588	13156	20348
589	13179	20327
590	13204	20309
591	13225	20285
592	13249	20264
593	13271	20242
594	13294	20220
595	13315	20196
596	13339	20176
597	13359	20150
598	13381	20128
599	13407	20110
600	13430	20089
601	13454	20069
602	13478	20049
603	13501	20028
604	13525	20008
605	13548	19987
606	13573	19968
607	13597	19948
608	13618	19925
609	13641	19903
610	13663	19880
611	13684	19856
612	13708	19835
613	13732	19815
614	13756	19795
615	13777	19771
616	13799	19748
617	13822	19727
618	13847	19708
619	13870	19686
620	13893	19665
621	13919	19648
622	13939	19623
623	13963	19602
624	13983	19576
625	14004	19552
626	14027	19530
627	14053	19513
628	14075	19491
629	14099	19470
630	14121	19447
631	14142	19424
632	14164	19400
633	14187	19379
634	14211	19358
635	14234	19337
636	14260	19319
637	14282	19296
638	14304	19274
639	14326	19251
640	14350	19230
641	14374	19210
642	14397	19188
643	14421	19168
644	14445	19149
645	14467	19125
646	14492	19106
647	14515	19085
648	14540	19066
649	14562	19042
650	14584	19020
651	14609	19001
652	14634	18982
653	14657	18961
654	14682	18941
655	14703	18917
656	14731	18901
657	14755	18881
658	14776	18857
659	14795	18830
660	14816	18806
661	14839	18784
662	14861	18761
663	14882	18737
664	14906	18717
665	14926	18691
666	14952	18673
667	14973	18650
668	14999	18631
669	15024	18612
670	15045	18588
671	15066	18564
672	15090	18543
673	15111	18518
674	15133	18496
675	15156	18475
676	15178	18452
677	15199	18427
678	15222	18406
679	15246	18385
680	15268	18363
681	15291	18340
682	15314	18318
683	15337	18296
684	15358	18273
685	15383	18254
686	15408	18234
687	15429	18210
688	15452	18188
689	15473	18165
690	15499	18146
691	15524	18126
692	15548	18106
693	15570	18083
694	15591	18059
695	15614	18037
696	15634	18012
697	15656	17988
698	15677	17965
699	15698	17941
700	15719	17916
701	15741	17894
702	15768	17876
